gene_id,log2FoldChange,pvalue,padj,Regulation
YNL317W,-1.194598,2.176568e-5,1.651806e-4,Downregulated
YNL318C,-3.192557,6.960397e-14,4.560931e-12,Downregulated
YNL326C,-1.072869,3.131612e-4,0.001626943,Downregulated
YNL336W,-2.417439,5.209983e-47,3.174964e-44,Downregulated
YNR004W,-1.07071,0.007979952,0.0244371,Downregulated
YNR034W-A,-1.041183,0.01164495,0.03330605,Downregulated
YNR060W,-1.227914,1.891163e-4,0.001060234,Downregulated
YNR061C,-1.485556,9.381676e-5,5.980328e-4,Downregulated
YNR066C,-1.100977,2.7593770000000002e-06,2.81198e-5,Downregulated
YNR067C,-1.23105,5.466165e-4,0.002616717,Downregulated
YNR069C,-1.233803,1.687458e-4,9.664818e-4,Downregulated
YNR070W,-2.019192,1.013923e-10,3.32196e-9,Downregulated
YNR074C,-3.207821,9.394954e-12,4.003696e-10,Downregulated
YNR075W,-4.843849,1.735787e-36,7.5556329999999995e-34,Downregulated
YOL018C,-1.041214,2.232797e-5,1.675698e-4,Downregulated
YOL030W,-1.699173,3.224764e-8,5.866182e-7,Downregulated
YOL049W,-2.169076,4.19297e-15,3.241277e-13,Downregulated
YOL057W,-1.105459,4.120878e-4,0.002045002,Downregulated
YOL060C,-1.454151,2.73095e-7,3.765251e-6,Downregulated
YOL064C,-1.410668,1.636357e-6,1.76183e-5,Downregulated
YOL086W-A,-1.192423,3.025833e-4,0.001580071,Downregulated
YOL096C,-2.538106,3.668089e-12,1.719487e-10,Downregulated
YOL105C,-2.408456,1.028602e-15,8.954712e-14,Downregulated
YOL107W,-1.047766,2.890028e-6,2.911047e-5,Downregulated
YOL119C,-1.610696,4.671316e-8,8.087216e-7,Downregulated
YOL122C,-1.294321,1.047241e-6,1.206315e-5,Downregulated
YOL126C,-1.266122,1.386561e-5,1.122139e-4,Downregulated
YOL136C,-1.059386,7.52618e-4,0.003417626,Downregulated
YOL153C,-2.143781,2.94094e-9,6.765885e-8,Downregulated
YOL154W,-5.791251,2.342471e-12,1.142001e-10,Downregulated
YOL155C,-2.982617,3.90989e-15,3.094399e-13,Downregulated
YOL158C,-2.978783,1.84467e-23,3.626264e-21,Downregulated
YOL159C,-1.346639,3.358658e-5,2.433729e-4,Downregulated
YOL159C-A,-2.866832,1.043406e-12,5.388574e-11,Downregulated
YOR002W,-1.099322,1.206396e-7,1.86121e-6,Downregulated
YOR009W,-2.724058,9.100443e-11,3.030497e-9,Downregulated
YOR012W,-2.780521,6.002845e-6,5.476249e-5,Downregulated
YOR044W,-1.373727,1.528456e-7,2.266281e-6,Downregulated
YOR072W-B,-2.464761,2.042224e-9,4.919096e-8,Downregulated
YOR107W,-1.126695,0.002811142,0.01035112,Downregulated
YOR109W,-1.099519,4.351393e-12,2.008893e-10,Downregulated
YOR114W,-1.674298,1.676029e-6,1.801362e-5,Downregulated
YOR128C,-1.354101,3.539328e-4,0.001807935,Downregulated
YOR176W,-1.496836,6.717636e-7,8.286897e-6,Downregulated
YOR184W,-1.358082,1.679528e-4,9.629681e-4,Downregulated
YOR192C-B,-5.059944,4.492225e-56,3.4219529999999997e-53,Downregulated
YOR219C,-2.660472,1.1118619999999999e-20,1.693922e-18,Downregulated
YOR273C,-1.244832,8.527254e-5,5.498951e-4,Downregulated
YOR292C,-1.182146,3.493188e-6,3.439013e-5,Downregulated
YOR296W,-1.251366,3.046943e-9,6.928385e-8,Downregulated
YOR316C,-1.430456,9.607454e-7,1.115197e-5,Downregulated
YOR343W-B,-1.082635,0.0114303,0.032764,Downregulated
YOR344C,-2.469969,3.378067e-21,5.417352999999999e-19,Downregulated
YOR347C,-1.050893,4.637879e-5,3.237484e-4,Downregulated
YOR348C,-1.171085,0.0011413249999999999,0.004808947,Downregulated
YOR353C,-1.278522,3.910613e-8,6.947894e-7,Downregulated
YOR357C,-1.590412,1.218484e-5,9.980428e-5,Downregulated
YOR375C,-1.491163,3.332848e-5,2.420783e-4,Downregulated
YOR376W-A,-1.392319,8.898248e-4,0.003923728,Downregulated
YOR388C,-1.70821,9.0232e-4,0.003970208,Downregulated
YPL002C,-1.366114,3.871302e-4,0.001943304,Downregulated
YPL003W,-1.062286,1.401884e-7,2.123953e-6,Downregulated
YPL014W,-1.529296,2.018012e-5,1.55079e-4,Downregulated
YPL018W,-2.011843,6.179519e-8,1.020542e-6,Downregulated
YPL019C,-1.375143,1.853558e-10,5.676171e-9,Downregulated
YPL081W,-1.282793,2.037415e-5,1.561762e-4,Downregulated
YPL112C,-1.066199,1.407088e-4,8.357501e-4,Downregulated
YPL113C,-1.465051,1.584866e-5,1.248462e-4,Downregulated
YPL120W,-1.037866,2.260112e-7,3.203051e-6,Downregulated
YPL152W,-1.046898,2.648128e-4,0.001413108,Downregulated
YPL162C,-1.363298,6.471683e-4,0.003015666,Downregulated
YPL165C,-1.523504,4.108946e-4,0.002040743,Downregulated
YPL177C,-1.03343,3.083027e-4,0.001604438,Downregulated
YPL192C,-6.693338,1.110338e-49,7.51822e-47,Downregulated
YPL215W,-1.121981,8.662414e-4,0.003836392,Downregulated
YPL241C,-1.481526,1.139512e-4,7.035652e-4,Downregulated
YPL250C,-2.243348,1.466772e-6,1.61345e-5,Downregulated
YPL257W,-2.369095,3.520062e-10,1.002395e-8,Downregulated
YPL264C,-1.213121,1.162069e-4,7.145963e-4,Downregulated
YPL265W,-1.713299,3.131496e-16,2.935898e-14,Downregulated
YPL274W,-1.902363,3.563205e-8,6.41572e-7,Downregulated
YPL283C,-1.004174,0.01033204,0.03006852,Downregulated
YPR003C,-1.61073,4.2816789999999996e-19,5.551607e-17,Downregulated
YPR013C,-1.804537,4.811689e-16,4.442793e-14,Downregulated
YPR028W,-1.423559,4.166915e-7,5.460899e-6,Downregulated
YPR035W,-1.748617,7.678031e-9,1.591494e-7,Downregulated
YPR051W,-1.704184,7.765115e-7,9.351899e-6,Downregulated
YPR066W,-1.600755,1.039361e-9,2.672516e-8,Downregulated
YPR071W,-1.558163,4.627193e-6,4.344856e-5,Downregulated
YPR109W,-1.094119,3.074308e-4,0.001601268,Downregulated
YPR131C,-1.543572,1.348587e-6,1.496748e-5,Downregulated
YPR138C,-1.343897,9.357738e-7,1.096655e-5,Downregulated
YPR145W,-1.947114,1.565463e-17,1.730331e-15,Downregulated
YPR147C,-1.268757,9.811921e-5,6.201831e-4,Downregulated
YPR155C,-1.071553,1.789229e-4,0.001014178,Downregulated
YPR156C,-2.940999,1.859276e-16,1.770379e-14,Downregulated
YPR157W,-1.603309,4.998974e-5,3.45786e-4,Downregulated
YPR158W-B,-1.562459,0.002297195,0.008722183,Downregulated
YPR159W,-1.151341,6.667697e-4,0.003094665,Downregulated
YPR167C,-1.002958,0.001099119,0.004697075,Downregulated
YPR181C,-1.069823,7.034341e-5,4.644342e-4,Downregulated
YPR192W,-1.158007,0.005262121,0.01730565,Downregulated
YPR194C,-3.458101,1.42653e-13,8.781086e-12,Downregulated
YPR196W,-1.529023,2.850938e-8,5.233017e-7,Downregulated
YPR198W,-2.571425,2.841622e-27,6.926739e-25,Downregulated
YPR200C,-1.517869,8.095867e-4,0.003624997,Downregulated
